route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,pull_time
10279,38,KRMTTMC-CPWD,CPWD-KRMTTMC,CPWD Quarters HSR Layout - Koramangala Bus Station,3,
10280,38,500-QK BBD-KDG,BYBD-KDG,Byrathi Bande - Kadugodi Bus Station,3,
10281,38,500-QK BBD-KDG,KDG-BYBD,Kadugodi Bus Station - Byrathi Bande,3,
10282,38,UVA-1,UVA-ELC,CS-Ultra Violatt Automotion Jigani - CS-Electronic City,3,
10283,38,UVA-1,ELC-UVA,CS-Electronic City - CS-Ultra Violatt Automotion Jigani,3,
10284,38,365-J KBS-JGN-UAV,KBS-UVA,Kempegowda Bus Station - Ultra Violatt Automotion Jigani,3,
10285,38,365-J KBS-JGN-UAV,UVA-KBS,Ultra Violatt Automotion Jigani - Kempegowda Bus Station,3,
10286,38,350-D KBS-SPN,KBS-SPN,Kempegowda Bus Station - Sampige Nagara,3,
10287,38,350-D KBS-SPN,SPN-KBS,Sampige Nagara - Kempegowda Bus Station,3,
10290,38,BTP-6D,BTP-6D,CS-Bagmane Tech Park - CS-Swamy Vivekanada Metro Station,3,
10291,38,BTP-6D,BTP-6D,CS-Swamy Vivekanada Metro Station - CS-Bagmane Tech Park,3,
10292,38,BEL GS-19,BEL GS-19,CS-BEML Factory - CS-BEL Factory,3,
10293,38,BEL GS-19,BEL GS-19,CS-BEL Factory - CS-BEML Factory,3,
10294,38,ELC-SBN,ELC-SBN,Electronic City - Subhashnagara Hosa Road,3,
10295,38,347-M,KMT-SBSN,KR Market (Kalasipalya) - Subhashnagara Hosa Road,3,
10296,38,347-M,SBSN-KMT,Subhashnagara Hosa Road - KR Market (Kalasipalya),3,
10297,38,327-SA D6G-ATB,D6G-MRH-ATB,Depot-06 Gate - Attibele Bus Stand,3,
10298,38,327-SA D6G-ATB,ATB-MRH-D6G,Attibele Bus Stand - Depot-06 Gate,3,
10299,38,305-J KMT-HSK,KMT-HSKKEB,KR Market - Hosakote K E B Circle,3,
10300,38,305-J KMT-HSK,HSKKEB-KMT,Hosakote K E B Circle - KR Market,3,
10301,38,KVASC-09,KVPTA-9,CS-CPWD HSR Layout - CS-Kendriya Vidyalaya ASC Center,3,
10302,38,KVASC-09,KVPTA-9,CS-Kendriya Vidyalaya ASC Center - CS-CPWD HSR Layout,3,
10303,38,KRM-RHAC,RHAC-KRM,Raheja Arcade Koramangala - Koramangala Bus Station,3,
10304,38,KRM-RHAC,KRM-RHAC,Koramangala Bus Station - Raheja Arcade Koramangala,3,
10305,38,328-HB D6G-ATB,D6G-ATB,Depot-06 Gate - Attibele Bus Stand,3,
10306,38,328-HB D6G-ATB,ATB-D6G,Attibele Bus Stand - Depot-06 Gate,3,
10307,38,309,KMT-DRDO2S,KR Market - DRDO 2nd Stage,3,
10308,38,342-F SJP-KVS,SJP-KVS,Sarjapura - Kendriya Vidyalaya ASC Center,3,
10309,38,HALPV-14,ARDC-HAL,CS-HAL ARDC - CS-Chowdeshwarinagara ORR,3,
10310,38,309,DRDO2S-KMT,DRDO 2nd Stage - KR Market,3,
10311,38,305-D KBS-VSD-CNS,KBS-CNS,Kempegowda Bus Station - Channasandra,3,
10312,38,305-D KBS-VSD-CNS,CNS-KBS,Channasandra - Kempegowda Bus Station,3,
10314,38,281-F YHKOT-MLH,YHKOT-MLH,Yelahanka Old Town - Mylanahalli,3,
10315,38,281-F YHKOT-MLH,MLH-YHKOT,Mylanahalli - Yelahanka Old Town,3,
10316,38,500-DG ARDC HAL-PSS,ARDC HAL-PSS,HAL ARDC - Peenya 2nd stage,3,
10317,38,500-DG ARDC HAL-PSS,PSS-ARDC HAL,Peenya 2nd Stage - HAL ARDC,3,
10318,38,VLS-02,VLS-02,CS-Trinity Circle - CS-Valley School Kanakapura Road,3,
10319,38,VLS-02,VLS-02,CS-Valley School Kanakapura Road - CS-Trinity Circle,3,
10320,38,V-500QK,BELC-KDG,BEL Circle - Kadugodi Bus Station,3,
10321,38,V-500QK,KDG-BELC,Kadugodi Bus Station - BEL Circle,3,
10322,38,500L D6G-TNF-BSK,D6G-BSK,Depot-06 Gate - Banashankari Bus Station,3,
10323,38,500L D6G-TNF-BSK,BSK-D6G,Banashankari Bus Station - Depot-06 Gate,3,
10324,38,BCGHS-19,SCA-BCGHS,CS-Suncity Apartment ORR Road - CS-Bishop Coton Girls High School,3,
10325,38,BCGHS-19,BCGHS-SCA,CS-Bishop Coton Girls High School - CS-Suncity Apartment ORR Road,3,
10326,38,311-E KBS-VSD-AMT,AMT-KBS,Ayyappa Nagara Muneshwara Temple Sadaramangala - Kempegowda Bus Station,3,
10327,38,342-H KBS-HSS,KBS-HSS,Kempegowda Bus Station - Head Start School Kommasandra,3,
10328,38,342-H KBS-HSS,HSS-KBS,Head Start School Kommasandra - Kempegowda Bus Station,3,
10330,38,410-K NMG-BSK,NMG-BSK,Nelamangala Bus Station - Banashankari Bus Station,3,
10331,38,500-Q VNS-TNF-KRPGH,VNS-KRPGH,Vidyaniketan School Hebbala - Krishnaraja Pura Govt Hospital,3,
10332,38,500-Q VNS-TNF-KRPGH,KRPGH-VNS,Krishnaraja Pura Govt Hospital - Vidyaniketan School Hebbala,3,
10334,38,410-K NMG-BSK,BSK-NMG,Banashankari Bus Station - Nelamangala Bus Station,3,
10337,38,HSS-16,HSS-16,CS-Raheja Arcade Koramangala - CS-Head Start School Kommasandra,3,
10338,38,342-H SJP-RAK,SJP-RAK,Sarjapura - Raheja Arcade Koramangala,3,
10339,38,HSS-16,HSS-16,CS-Head Start School Kommasandra - CS-Raheja Arcade Koramangala,3,
10340,38,342-H SJP-RAK,RAK-SJP,Raheja Arcade Koramangala - Sarjapura,3,
10341,38,306-M KMT-KDR,KMT-KDR,KR Market - Koduru,3,
10342,38,306-M KMT-KDR,KDR-KMT,Koduru - KR Market,3,
10345,38,HSS-01,HSS-1,CS-Koramangala TTMC - CS-Head Start School Kommasandra,3,
10346,38,HSS-01,HSS-01,CS-Head Start School Kommasandra - CS-Koramangala TTMC,3,
10349,38,HSS-23,HSS-23,CS-Koramangala TTMC - CS-Head Start School Kommasandra,3,
10350,38,HSS-23,HSS-23,CS-Head Start School Kommasandra - CS-Koramangala TTMC,3,
10351,38,V-MF-11,SVMS-ITPL,Swamy Vivekananda Metro Station/Isolation Hospital - ITPL,3,
10352,38,V-MF-11,ITPL-SVMS,ITPL - Swamy Vivekananda Metro Station/Isolation Hospital,3,
10353,38,HSS-12,HSS-12,CS-Koramangala TTMC - CS-Head Start School Kommasandra,3,
10354,38,HSS-12,HSS-12,CS-Head Start School Kommasandra - CS-Koramangala TTMC,3,
10355,38,SSPC-2,SSPC-JHC,CS-Sri Sai Packaging Company - CS-Jalahalli Cross,3,
10356,38,171 KBS-SNCA,KBS-SNCA,Kempegowda Bus Station - Suncity Apartment ORR Road,3,
10357,38,171 KBS-SNCA,SNCA-KBS,Suncity Apartment ORR Road - Kempegowda Bus Station,3,
10358,38,293-A PRC-BGLR,PRC-BGLR,Puneethrajakumar Circle - Bagalur,3,
10359,38,G-3 SJHS-ATB,SJHS-ATB,St Josephs Indian School/ Malya Hospital - Attibele Bus Stand,3,
10360,38,293-A PRC-BGLR,BGLR-PRC,Bagalur - Puneethrajakumar Circle,3,
10361,38,G-3 SJHS-ATB,ATB-SJHS,Attibele Bus Stand - St Josephs Indian School/ Malya Hospital,3,
